Player Name, Position, Nationality, Club, Height, DoB, Goals,Season,Season
Steven Caldwell, Defender, Scotland,Newcastle United,181cm,12/09/1980,1,2002/03,2002/03
Titi Camara, Forward, Guinea,West Ham United,183cm,17/11/1972,0,2002/03,2002/03
Sol Campbell, Defender, England,Arsenal,188cm,18/09/1974,2,2002/03,2002/03
Jamal Campbell-Ryce, Midfielder, Jamaica,Charlton Athletic,170cm,06/04/1983,0,2002/03,2002/03
Clarke Carlisle, Defender, England,Leeds United,191cm,14/10/1979,0,2002/03,2002/03
Carlton Cole, Forward, England,Chelsea,191cm,12/10/1983,3,2002/03,2002/03
Stephen Carr, Defender, Ireland,Tottenham Hotspur,175cm,29/08/1976,0,2002/03,2002/03
Jamie Carragher, Defender, England,Liverpool,185cm,28/01/1978,0,2002/03,2002/03
Michael Carrick, Midfielder, England,West Ham United,188cm,28/07/1981,1,2002/03,2002/03
Roy Carroll, Goalkeeper, Northern Ireland,Manchester United,188cm,30/09/1977,0,2002/03,2002/03
Lee Carsley, Midfielder, Ireland,Everton,175cm,28/02/1974,3,2002/03,2002/03
Scott Carson, Goalkeeper, England,Leeds United,188cm,03/09/1985  (38),0,2002/03,2002/03
Darren Carter, Midfielder, England,Birmingham City,188cm,18/12/1983,0,2002/03,2002/03
Nick Chadwick, Forward, England,Everton,183cm,26/10/1982,0,2002/03,2002/03
James Chambers, Defender, England,West Bromwich Albion,178cm,20/11/1980,0,2002/03,2002/03
Richard Chaplow, Midfielder, England,Southampton,178cm,02/02/1985,0,2002/03,2002/03
Simon Charlton, Defender, England,Bolton Wanderers,173cm,25/10/1971,0,2002/03,2002/03
Laurent Charvet, Defender, France,Manchester City,180cm,08/05/1973,0,2002/03,2002/03
Bruno Cheyrou, Midfielder, France,Liverpool,187cm,10/05/1978,0,2002/03,2002/03
Michael Chopra, Forward, England,Newcastle United,173cm,28/12/1983,0,2002/03,2002/03
Malcolm Christie, Forward, England,Middlesbrough,183cm,11/04/1979,4,2002/03,2002/03
Aliou Cisse, Midfielder, Senegal,Birmingham City,180cm,24/03/1976,0,2002/03,2002/03
Lee Clark, Midfielder, England,Fulham,170cm,27/10/1972,2,2002/03,2002/03
Peter Clarke, Defender, England,Everton,183cm,03/01/1982,0,2002/03,2002/03
Claus Jensen, Midfielder, Denmark,Charlton Athletic,185cm,29/04/1977,6,2002/03,2002/03
Stephen Clemence, Midfielder, England,Birmingham City,180cm,31/03/1978,2,2002/03,2002/03
Neil Clement, Defender, England,West Bromwich Albion,183cm,03/10/1978,3,2002/03,2002/03
Brian Close, Defender, England,Middlesbrough,178cm,27/01/1982,0,2002/03,2002/03
Ashley Cole, Defender, England,Arsenal,176cm,20/12/1980,1,2002/03,2002/03
Adam Collin, Goalkeeper, England,Newcastle United,195cm,09/12/1984,0,2002/03,2002/03
John Collins, Midfielder, Scotland,Fulham,173cm,31/01/1968,0,2002/03,2002/03
Ferdinand Coly, Defender, Senegal,Birmingham City,179cm,10/09/1973,0,2002/03,2002/03
Rob Constable, Defender, England,Leeds United,183cm,26/01/1986,0,2002/03,2002/03
Stephen Cooke, Midfielder, England,Aston Villa,170cm,15/02/1983,0,2002/03,2002/03
Colin Cooper, Defender, England,Middlesbrough,175cm,28/02/1967,0,2002/03,2002/03
Luke Cornwall, Forward, England,Fulham,178cm,23/07/1980,0,2002/03,2002/03
Barry Corr, Forward, Ireland,Leeds United,191cm,02/04/1985,0,2002/03,2002/03
Carl Cort, Forward, Guyana,Newcastle United,193cm,01/11/1977,0,2002/03,2002/03
Laurent Courtois, Midfielder, France,West Ham United,173cm,11/09/1978,0,2002/03,2002/03
Will Coyles, Goalkeeper, England,Leeds United,183cm,20/12/1985,0,2002/03,2002/03
Jody Craddock, Defender, England,Sunderland,185cm,25/07/1975,1,2002/03,2002/03
Kevin Cronin, Defender, England,Leeds United, ,18/05/1985,0,2002/03,2002/03
Mark Crossley, Goalkeeper, Wales,Middlesbrough,183cm,16/06/1969,0,2002/03,2002/03
Peter Crouch, Forward, England,Aston Villa,201cm,30/01/1981,0,2002/03,2002/03
Matt Crowell, Midfielder, England,Southampton,173cm,03/07/1984,0,2002/03,2002/03
Carlo Cudicini, Goalkeeper, Italy,Chelsea,185cm,06/09/1973,0,2002/03,2002/03
Warren Cummings, Defender, Scotland,Chelsea,175cm,15/10/1980,0,2002/03,2002/03
Kenny Cunningham, Defender, Ireland,Birmingham City,183cm,28/06/1971,0,2002/03,2002/03
John Curtis, Defender, England,Blackburn Rovers,178cm,03/09/1978,0,2002/03,2002/03
Pascal Cygan, Defender, France,Arsenal,192cm,29/04/1974,1,2002/03,2002/03
Nikolaos Dabizas, Defender, Greece,Newcastle United,185cm,03/08/1973,0,2002/03,2002/03
Olivier Dacourt, Midfielder, France,Leeds United,178cm,25/09/1974,0,2002/03,2002/03
Christian Dailly, Defender, Scotland,West Ham United,183cm,23/10/1973,0,2002/03,2002/03
Tomas Danilevicius, Forward, Lithuania,Arsenal,191cm,18/07/1978,0,2002/03,2002/03
Neil Danns, Midfielder, Guyana,Blackburn Rovers,175cm,23/11/1982,0,2002/03,2002/03
Danny Mills, Defender, England,Leeds United,180cm,18/05/1977,1,2002/03,2002/03
Andrew Davies, Defender, England,Middlesbrough,192cm,17/12/1984,0,2002/03,2002/03
Sean Davis, Midfielder, England,Fulham,175cm,20/09/1979,3,2002/03,2002/03
Mark De Bolla, Forward, England,Charlton Athletic,170cm,01/01/1983,0,2002/03,2002/03
Ed de Goey, Goalkeeper, Netherlands,Chelsea,198cm,20/12/1966,0,2002/03,2002/03
Ulises de la Cruz, Defender, Ecuador,Aston Villa,178cm,08/02/1974,1,2002/03,2002/03
Enrique De Lucas, Forward, Spain,Chelsea,174cm,17/08/1978,0,2002/03,2002/03
Adrian Deane, Midfielder, Ireland,Charlton Athletic,180cm,24/02/1983,0,2002/03,2002/03
Jermain Defoe, Forward, England,West Ham United,171cm,07/10/1982,8,2002/03,2002/03
Mark Delaney, Defender, Wales,Aston Villa,185cm,13/05/1976,0,2002/03,2002/03
Rory Delap, Midfielder, Ireland,Southampton,183cm,06/07/1976,0,2002/03,2002/03
Agustin Delgado, Forward, Ecuador,Southampton,191cm,23/12/1974,0,2002/03,2002/03
Marcel Desailly, Defender, France,Chelsea,185cm,07/09/1968,2,2002/03,2002/03
Paul Devlin, Midfielder, Scotland,Birmingham City,173cm,14/04/1972,3,2002/03,2002/03
Paolo Di Canio, Forward, Italy,West Ham United,175cm,09/07/1968,9,2002/03,2002/03
Valerio Di Cesare, Midfielder, Italy,Chelsea,187cm,23/05/1983,0,2002/03,2002/03
Salif Diao, Midfielder, Senegal,Liverpool,185cm,10/02/1977,1,2002/03,2002/03
Danny Dichio, Forward, England,West Bromwich Albion,191cm,19/10/1974,5,2002/03,2002/03
Jonjo Dickman, Midfielder, England,Sunderland,173cm,22/09/1981,0,2002/03,2002/03
Bernard Diomede, Midfielder, France,Liverpool,175cm,23/01/1974,0,2002/03,2002/03
El Hadji Diouf, Midfielder, Senegal,Liverpool,183cm,15/01/1981,3,2002/03,2002/03
Sylvain Distin, Defender, France,Manchester City,193cm,16/12/1977,0,2002/03,2002/03
Martin Djetou, Defender, France,Fulham  (Loan),180cm,15/01/1974,1,2002/03,2002/03
Bojan Djordjic, Midfielder, Sweden,Manchester United,183cm,06/02/1982,0,2002/03,2002/03
Youri Djorkaeff, Midfielder, France,Bolton Wanderers,178cm,09/03/1968,7,2002/03,2002/03
Scott Dobie, Forward, Scotland,West Bromwich Albion,185cm,10/10/1978,5,2002/03,2002/03
Jason Dodd, Defender, England,Southampton,180cm,02/11/1970,0,2002/03,2002/03
Gary Doherty, Defender, Ireland,Tottenham Hotspur,187cm,31/01/1980,1,2002/03,2002/03
Ciaran Donnelly, Midfielder, England,Blackburn Rovers,180cm,02/04/1986,0,2002/03,2002/03
Doriva, Midfielder, Brazil,Middlesbrough  (Loan),175cm,28/05/1972,0,2002/03,2002/03
Jonathan Douglas, Midfielder, Ireland,Blackburn Rovers,180cm,22/11/1981,0,2002/03,2002/03
Craig Dove, Midfielder, England,Middlesbrough,173cm,16/08/1983,0,2002/03,2002/03
Stewart Downing, Midfielder, England,Middlesbrough,180cm,22/07/1984,0,2002/03,2002/03
Mark Draper, Midfielder, England,Southampton,178cm,11/11/1970,0,2002/03,2002/03
Michael Duberry, Defender, England,Leeds United,185cm,14/10/1975,0,2002/03,2002/03
Dion Dublin, Forward, England,Aston Villa,188cm,22/04/1969,10,2002/03,2002/03
Jerzy Dudek, Goalkeeper, Poland,Liverpool,188cm,23/03/1973,0,2002/03,2002/03
Damien Duff, Midfielder, Ireland,Blackburn Rovers,178cm,02/03/1979,9,2002/03,2002/03
Christophe Dugarry, Forward, France,Birmingham City,191cm,24/03/1972,5,2002/03,2002/03
David Dunn, Midfielder, England,Blackburn Rovers,178cm,27/12/1979,8,2002/03,2002/03
Richard Dunne, Defender, Ireland,Manchester City,188cm,21/09/1979,0,2002/03,2002/03
Darren Dunning, Midfielder, England,Blackburn Rovers,168cm,08/01/1981,0,2002/03,2002/03
Kieron Dyer, Midfielder, England,Newcastle United,173cm,29/12/1978,2,2002/03,2002/03
Eddie Odhiambo, Defender, Tanzania,Southampton,175cm,31/08/1985,0,2002/03,2002/03
Richard Edghill, Defender, England,Manchester City,175cm,23/09/1974,0,2002/03,2002/03
Edu, Midfielder, Brazil,Arsenal,185cm,15/05/1978,2,2002/03,2002/03
Rob Edwards, Defender, Wales,Aston Villa,185cm,25/12/1982,0,2002/03,2002/03
Ugo Ehiogu, Defender, England,Middlesbrough,188cm,03/11/1972,3,2002/03,2002/03
Gylfi Einarsson, Midfielder, Iceland,Leeds United,181cm,27/10/1978,0,2002/03,2002/03
Talal El Karkouri, Defender, Morocco,Sunderland,186cm,08/07/1976,0,2002/03,2002/03
Tahar El-Khalej, Defender, Morocco,Charlton Athletic,188cm,16/06/1968,0,2002/03,2002/03
Nathan Ellington, Forward, England,West Bromwich Albion,178cm,02/07/1981,0,2002/03,2002/03
Robert Elliot, Goalkeeper, Ireland,Charlton Athletic,190cm,30/04/1986,0,2002/03,2002/03
Robbie Elliott, Defender, England,Newcastle United,178cm,25/12/1973,0,2002/03,2002/03
Rob Elvins, Midfielder, England,West Bromwich Albion,185cm,17/09/1986,0,2002/03,2002/03
Emerson Thome, Defender, Brazil,Sunderland,185cm,30/03/1972,0,2002/03,2002/03
Peter Enckelman, Goalkeeper, Finland,Aston Villa,188cm,10/03/1977,0,2002/03,2002/03
Matthew Etherington, Midfielder, England,Tottenham Hotspur,178cm,14/08/1981,1,2002/03,2002/03
Jason Euell, Forward, Jamaica,Charlton Athletic,183cm,06/02/1977,10,2002/03,2002/03
John Eustace, Midfielder, England,Middlesbrough,180cm,03/11/1979,0,2002/03,2002/03
Richard Evans, Midfielder, Wales,Birmingham City,175cm,19/06/1983,0,2002/03,2002/03
Nicky Eyre, Goalkeeper, England,Tottenham Hotspur,178cm,07/09/1985,0,2002/03,2002/03
Delroy Facey, Forward, Grenada,Bolton Wanderers,182cm,22/04/1980,1,2002/03,2002/03
Craig Fagan, Forward, England,Birmingham City,180cm,11/12/1982,0,2002/03,2002/03
Keith Fahey, Midfielder, Ireland,Aston Villa,177cm,15/01/1983,0,2002/03,2002/03
Gareth Farrelly, Midfielder, Ireland,Bolton Wanderers,185cm,28/08/1975,1,2002/03,2002/03
Feliciano, Midfielder, Portugal,Southampton,180cm,06/04/1987,0,2002/03,2002/03
Rio Ferdinand, Defender, England,Manchester United,189cm,07/11/1978,0,2002/03,2002/03
Duncan Ferguson, Forward, Scotland,Everton,193cm,27/12/1971,0,2002/03,2002/03
Fabrice Fernandes, Midfielder, France,Southampton,175cm,29/10/1979,3,2002/03,2002/03
Albert Ferrer, Defender, Spain,Chelsea,175cm,06/06/1970,0,2002/03,2002/03
Gianluca Festa, Defender, Italy,Middlesbrough,183cm,15/03/1969,0,2002/03,2002/03
Filipe Oliveira, Midfielder, Portugal,Chelsea,182cm,27/05/1984,0,2002/03,2002/03
Steve Finnan, Defender, Ireland,Fulham,178cm,20/04/1976,0,2002/03,2002/03
Mark Fish, Defender, South Africa,Charlton Athletic,193cm,14/03/1974,1,2002/03,2002/03
Darren Fletcher, Midfielder, Scotland,Manchester United,183cm,01/02/1984,0,2002/03,2002/03
Garry Flitcroft, Midfielder, England,Blackburn Rovers,183cm,06/11/1972,2,2002/03,2002/03
Tim Flowers, Goalkeeper, England,Manchester City,188cm,03/02/1967,0,2002/03,2002/03
Niall Flynn, Midfielder, Ireland,Sunderland, ,22/01/1986,0,2002/03,2002/03
Marc Vivien Foe, Midfielder, Cameroon,Manchester City,191cm,01/05/1975,9,2002/03,2002/03
Caleb Folan, Forward, Ireland,Leeds United,188cm,26/10/1982,0,2002/03,2002/03
Michael Foley, Midfielder, Ireland,Liverpool, ,09/03/1983,0,2002/03,2002/03
Michael Foley-Sheridan, Midfielder, Ireland,Liverpool,168cm,09/03/1983,0,2002/03,2002/03
David Forde, Goalkeeper, Ireland,West Ham United,190cm,20/12/1979,0,2002/03,2002/03
Diego Forlán, Forward, Uruguay,Manchester United,180cm,19/05/1979,6,2002/03,2002/03
Mikael Forssell, Forward, Finland,Chelsea,184cm,15/03/1981,0,2002/03,2002/03
Jeff Forsyth, Defender, England,West Bromwich Albion,179cm,14/10/1987,0,2002/03,2002/03
Jonathan Fortune, Defender, England,Charlton Athletic,188cm,23/08/1980,1,2002/03,2002/03
Robbie Fowler, Forward, England,Manchester City,173cm,09/04/1975,2,2002/03,2002/03
Per Frandsen, Midfielder, Denmark,Bolton Wanderers,185cm,06/02/1970,2,2002/03,2002/03
Steffen Freund, Midfielder, Germany,Tottenham Hotspur,180cm,19/01/1970,0,2002/03,2002/03
Brad Friedel, Goalkeeper, United States,Blackburn Rovers,191cm,18/05/1971,0,2002/03,2002/03
Paul Furlong, Forward, England,Birmingham City,183cm,01/10/1968,0,2002/03,2002/03
Thomas Gaardsoe, Defender, Denmark,West Bromwich Albion,188cm,23/11/1979,0,2002/03,2002/03
Paul Gallagher, Midfielder, Scotland,Blackburn Rovers,187cm,09/08/1984,0,2002/03,2002/03
William Gallas, Defender, France,Chelsea,181cm,17/08/1977,4,2002/03,2002/03
Richard García, Forward, Australia,West Ham United,181cm,04/09/1981,0,2002/03,2002/03
Ricardo Gardner, Midfielder, Jamaica,Bolton Wanderers,175cm,25/09/1978,2,2002/03,2002/03
Ryan Garry, Defender, England,Arsenal,188cm,29/09/1983,0,2002/03,2002/03
Gary Neville, Defender, England,Manchester United,180cm,18/02/1975,0,2002/03,2002/03
Diego Gavilán, Midfielder, Paraguay,Newcastle United,177cm,01/03/1980,0,2002/03,2002/03
Jason Gavin, Defender, Ireland,Middlesbrough,183cm,14/03/1980,0,2002/03,2002/03
Scot Gemmill, Midfielder, Scotland,Everton,178cm,02/01/1971,0,2002/03,2002/03
Zoltán Gera, Midfielder, Hungary,West Bromwich Albion,183cm,22/04/1979,0,2002/03,2002/03
Geremi, Midfielder, Cameroon,Middlesbrough  (Loan),177cm,20/12/1978,7,2002/03,2002/03
Paul Gerrard, Goalkeeper, England,Everton,188cm,22/01/1973,0,2002/03,2002/03
Ryan Giggs, Midfielder, Wales,Manchester United,180cm,29/11/1973,8,2002/03,2002/03
Kerrea Gilbert, Defender, England,Arsenal,175cm,28/02/1987,0,2002/03,2002/03
Gilberto Silva, Midfielder, Brazil,Arsenal,184cm,07/10/1976,0,2002/03,2002/03
Phil Gilchrist, Defender, England,West Bromwich Albion,183cm,25/08/1973,0,2002/03,2002/03
Keith Gillespie, Midfielder, Northern Ireland,Blackburn Rovers,178cm,18/02/1975,0,2002/03,2002/03
Keith Gilroy, Midfielder, Ireland,Middlesbrough,178cm,08/07/1983,0,2002/03,2002/03
Rúrik Gíslason, Midfielder, Iceland,Charlton Athletic,184cm,25/02/1988,0,2002/03,2002/03
Shay Given, Goalkeeper, Ireland,Newcastle United,185cm,20/04/1976,0,2002/03,2002/03
Shaun Goater, Forward, Bermuda,Manchester City,185cm,25/02/1970,7,2002/03,2002/03
Bjarne Goldbæk, Midfielder, Denmark,Fulham,177cm,06/10/1968,0,2002/03,2002/03
Alain Goma, Defender, France,Fulham,183cm,05/10/1972,0,2002/03,2002/03
Corrado Grabbi, Forward, Italy,Blackburn Rovers,181cm,29/07/1975,1,2002/03,2002/03
Martin Grainger, Defender, England,Birmingham City,180cm,23/08/1972,0,2002/03,2002/03
Thomas Gravesen, Midfielder, Denmark,Everton,178cm,11/03/1976,1,2002/03,2002/03
Michael Gray, Defender, England,Sunderland,170cm,03/08/1974,1,2002/03,2002/03
Keith Graydon, Forward, England,Sunderland, ,10/02/1983,0,2002/03,2002/03
Stuart Green, Midfielder, England,Newcastle United,178cm,15/06/1981,0,2002/03,2002/03
Jonathan Greening, Midfielder, England,Middlesbrough,183cm,02/01/1979,2,2002/03,2002/03
Gordon Greer, Defender, Scotland,Blackburn Rovers,188cm,14/12/1980,0,2002/03,2002/03
Sean Gregan, Defender, England,West Bromwich Albion,188cm,29/03/1974,1,2002/03,2002/03
Grégory Vignal, Defender, France,Liverpool,182cm,19/07/1981,0,2002/03,2002/03
Vratislav Gresko, Defender, Slovakia,Blackburn Rovers,183cm,24/07/1977,0,2002/03,2002/03
Andy Griffin, Defender, England,Newcastle United,173cm,17/03/1979,1,2002/03,2002/03
Joel Griffiths, Forward, Australia,Leeds United,181cm,21/08/1979,0,2002/03,2002/03
David Grondin, Defender, France,Arsenal,178cm,08/05/1980,0,2002/03,2002/03
Jesper Grønkjaer, Midfielder, Denmark,Chelsea,187cm,12/08/1977,4,2002/03,2002/03
Eidur Gudjohnsen, Forward, Iceland,Chelsea,185cm,15/09/1978,10,2002/03,2002/03
